"Scenario","Region","Variable","Year","Value"
"Canada Net-zero","British Columbia","Uranium SMR",2040,14218.75549
"Canada Net-zero","British Columbia","Total",2040,108914.6025041
"Canada Net-zero","Manitoba","Bioenergy",2040,42.74546183
"Canada Net-zero","Manitoba","Hydro",2040,49968.35369
"Canada Net-zero","Manitoba","Natural Gas",2040,0
"Canada Net-zero","Manitoba","Oil",2040,0
"Canada Net-zero","Manitoba","Onshore Wind",2040,1367.492169
"Canada Net-zero","Manitoba","Solar (Distributed)",2040,89.48870329
"Canada Net-zero","Manitoba","Solar (Utility scale)",2040,9.892769117
"Canada Net-zero","Manitoba","Uranium SMR",2040,8049.494032
"Canada Net-zero","Manitoba","Total",2040,59527.466825237
"Canada Net-zero","New Brunswick","Bioenergy",2040,104.8183471
"Canada Net-zero","New Brunswick","Coal and Coke",2040,0
"Canada Net-zero","New Brunswick","Hydro",2040,2572.362389
"Canada Net-zero","New Brunswick","Natural Gas",2040,0
"Canada Net-zero","New Brunswick","Oil",2040,0
"Canada Net-zero","New Brunswick","Onshore Wind",2040,7488.279482
"Canada Net-zero","New Brunswick","Solar (Distributed)",2040,27.91590565
"Canada Net-zero","New Brunswick","Solar (Utility scale)",2040,48.1292859
"Canada Net-zero","New Brunswick","Uranium",2040,5198.869748
"Canada Net-zero","New Brunswick","Uranium SMR",2040,3342.479622
"Canada Net-zero","New Brunswick","Total",2040,18782.85477965
"Canada Net-zero","Newfoundland and Labrador","Hydro",2040,46100.51965
"Canada Net-zero","Newfoundland and Labrador","Natural Gas",2040,0
"Canada Net-zero","Newfoundland and Labrador","Oil",2040,0
"Canada Net-zero","Newfoundland and Labrador","Onshore Wind",2040,194.4986979
"Canada Net-zero","Newfoundland and Labrador","Solar (Distributed)",2040,17.2422232
"Canada Net-zero","Newfoundland and Labrador","Solar (Utility scale)",2040,0.019396747
"Canada Net-zero","Newfoundland and Labrador","Total",2040,46312.279967847
"Canada Net-zero","Nova Scotia","Bioenergy",2040,95.63382882
"Canada Net-zero","Nova Scotia","Coal and Coke",2040,0
"Canada Net-zero","Nova Scotia","Hydro",2040,354.6476386
"Canada Net-zero","Nova Scotia","Natural Gas",2040,39.62218235
"Canada Net-zero","Nova Scotia","Offshore Wind",2040,21349.74191
"Canada Net-zero","Nova Scotia","Oil",2040,0
"Canada Net-zero","Nova Scotia","Onshore Wind",2040,1930.500868
"Canada Net-zero","Nova Scotia","Solar (Distributed)",2040,19.88650791
"Canada Net-zero","Nova Scotia","Solar (Utility scale)",2040,0.539401307
"Canada Net-zero","Nova Scotia","Total",2040,23790.572336987
"Canada Net-zero","Northwest Territories","Hydro",2040,611.1227713
"Canada Net-zero","Northwest Territories","Natural Gas",2040,34.49914147
"Canada Net-zero","Northwest Territories","Oil",2040,14.19485131
"Canada Net-zero","Northwest Territories","Onshore Wind",2040,59.39271706
"Canada Net-zero","Northwest Territories","Solar (Distributed)",2040,0.967792016
"Canada Net-zero","Northwest Territories","Solar (Utility scale)",2040,60.71560612
"Canada Net-zero","Northwest Territories","Total",2040,780.892879275999
"Canada Net-zero","Nunavut","Oil",2040,283.198468
"Canada Net-zero","Nunavut","Onshore Wind",2040,91.81793071
"Canada Net-zero","Nunavut","Solar (Distributed)",2040,0.554567432
"Canada Net-zero","Nunavut","Solar (Utility scale)",2040,44.24347624
"Canada Net-zero","Nunavut","Total",2040,419.814442382
"Canada Net-zero","Ontario","Bioenergy",2040,1234.45273099999
"Canada Net-zero","Ontario","Bioenergy with CCUS",2040,1314
"Canada Net-zero","Ontario","Hydro",2040,41746.84127
"Canada Net-zero","Ontario","Natural Gas",2040,2425.11876
"Canada Net-zero","Ontario","Natural Gas with CCUS",2040,6949.526411
"Canada Net-zero","Ontario","Oil",2040,0
"Canada Net-zero","Ontario","Onshore Wind",2040,117003.6073
"Canada Net-zero","Ontario","Solar (Distributed)",2040,4795.416947
"Canada Net-zero","Ontario","Solar (Utility scale)",2040,5308.471523
"Canada Net-zero","Ontario","Uranium",2040,86944.80256
"Canada Net-zero","Ontario","Uranium SMR",2040,73372.82606
"Canada Net-zero","Ontario","Total",2040,341095.063562
"Canada Net-zero","Prince Edward Island","Bioenergy",2040,2.6544
"Canada Net-zero","Prince Edward Island","Oil",2040,1.65
"Canada Net-zero","Prince Edward Island","Onshore Wind",2040,1550.466348
"Canada Net-zero","Prince Edward Island","Solar (Distributed)",2040,5.304912195
"Canada Net-zero","Prince Edward Island","Solar (Utility scale)",2040,95.58633714
"Canada Net-zero","Prince Edward Island","Uranium SMR",2040,1744.520699
"Canada Net-zero","Prince Edward Island","Total",2040,3400.182696335
"Canada Net-zero","Quebec","Bioenergy",2040,1563.12641999999
"Canada Net-zero","Quebec","Hydro",2040,264532.6155
"Canada Net-zero","Quebec","Natural Gas",2040,0
"Canada Net-zero","Quebec","Oil",2040,321.653
"Canada Net-zero","Quebec","Onshore Wind",2040,20099.01958
"Canada Net-zero","Quebec","Solar (Distributed)",2040,582.7410049
"Canada Net-zero","Quebec","Solar (Utility scale)",2040,0.397480685
"Canada Net-zero","Quebec","Uranium SMR",2040,17445.85282
"Canada Net-zero","Quebec","Total",2040,304545.405805585
"Canada Net-zero","Saskatchewan","Bioenergy",2040,116.8787371
"Canada Net-zero","Saskatchewan","Bioenergy with CCUS",2040,9636
"Canada Net-zero","Saskatchewan","Coal and Coke",2040,0
"Canada Net-zero","Saskatchewan","Coal with CCUS",2040,0
"Canada Net-zero","Saskatchewan","Hydro",2040,3996.578453
"Canada Net-zero","Saskatchewan","Natural Gas",2040,413.9020191
"Canada Net-zero","Saskatchewan","Natural Gas with CCUS",2040,585.9897156
"Canada Net-zero","Saskatchewan","Oil",2040,0
"Canada Net-zero","Saskatchewan","Onshore Wind",2040,19287.59375
"Canada Net-zero","Saskatchewan","Solar (Distributed)",2040,310.752283
"Canada Net-zero","Saskatchewan","Solar (Utility scale)",2040,2868.820127
"Canada Net-zero","Saskatchewan","Uranium SMR",2040,6490.12703
"Canada Net-zero","Saskatchewan","Total",2040,43706.6421148
"Canada Net-zero","Yukon","Bioenergy",2040,10.151388652
"Canada Net-zero","Yukon","Hydro",2040,461.1259771
"Canada Net-zero","Yukon","Natural Gas",2040,128.9280495
"Canada Net-zero","Yukon","Oil",2040,74.11652769
"Canada Net-zero","Yukon","Onshore Wind",2040,51.13600448
"Canada Net-zero","Yukon","Solar (Distributed)",2040,1.175932563
"Canada Net-zero","Yukon","Solar (Utility scale)",2040,60.36288336
"Canada Net-zero","Yukon","Total",2040,786.996763345
"Current Measures","Alberta","Bioenergy",2040,847.6646828
"Current Measures","Alberta","Coal and Coke",2040,0
"Current Measures","Alberta","Hydro",2040,1651.074978
"Current Measures","Alberta","Natural Gas",2040,89740.00525
"Current Measures","Alberta","Oil",2040,0
"Current Measures","Alberta","Onshore Wind",2040,14174.00682
"Current Measures","Alberta","Solar (Distributed)",2040,1208.972194
"Current Measures","Alberta","Solar (Utility scale)",2040,6477.952872
"Current Measures","Alberta","Total",2040,114099.6767968
"Current Measures","British Columbia","Bioenergy",2040,2505.84604869999
"Current Measures","British Columbia","Hydro",2040,63916.68375
"Current Measures","British Columbia","Natural Gas",2040,9764.867548
"Current Measures","British Columbia","Oil",2040,0
"Current Measures","British Columbia","Onshore Wind",2040,15463.73509
"Current Measures","British Columbia","Solar (Distributed)",2040,986.0348704
"Current Measures","British Columbia","Solar (Utility scale)",2040,6889.690753
"Current Measures","British Columbia","Total",2040,99526.8580601
"Current Measures","Manitoba","Bioenergy",2040,1048.208942
"Current Measures","Manitoba","Hydro",2040,36368.95618
"Current Measures","Manitoba","Natural Gas",2040,0
"Current Measures","Manitoba","Oil",2040,0.364370082
"Current Measures","Manitoba","Onshore Wind",2040,5037.126849
"Current Measures","Manitoba","Solar (Distributed)",2040,44.74435165
"Current Measures","Manitoba","Solar (Utility scale)",2040,9.892769117
"Current Measures","Manitoba","Total",2040,42509.293461849
"Current Measures","New Brunswick","Bioenergy",2040,89.98993329
"Current Measures","New Brunswick","Coal and Coke",2040,0
"Current Measures","New Brunswick","Hydro",2040,2426.014329
"Current Measures","New Brunswick","Natural Gas",2040,0.000691
"Current Measures","New Brunswick","Oil",2040,0
"Current Measures","New Brunswick","Onshore Wind",2040,10411.11108
"Current Measures","New Brunswick","Solar (Distributed)",2040,20.93692924
"Current Measures","New Brunswick","Solar (Utility scale)",2040,48.1292859
"Current Measures","New Brunswick","Uranium",2040,5247.958268
"Current Measures","New Brunswick","Total",2040,18244.14051643
"Current Measures","Newfoundland and Labrador","Hydro",2040,45247.81777
"Current Measures","Newfoundland and Labrador","Natural Gas",2040,0
"Current Measures","Newfoundland and Labrador","Oil",2040,0
"Current Measures","Newfoundland and Labrador","Onshore Wind",2040,194.4986979
"Current Measures","Newfoundland and Labrador","Solar (Distributed)",2040,11.49481546
"Current Measures","Newfoundland and Labrador","Solar (Utility scale)",2040,0.019396747
"Current Measures","Newfoundland and Labrador","Total",2040,45453.830680107
"Current Measures","Nova Scotia","Bioenergy",2040,536.6544932
"Current Measures","Nova Scotia","Coal and Coke",2040,0
"Current Measures","Nova Scotia","Hydro",2040,987.4440324
"Current Measures","Nova Scotia","Natural Gas",2040,4944.98779
"Current Measures","Nova Scotia","Oil",2040,0
"Current Measures","Nova Scotia","Onshore Wind",2040,4661.515397
"Current Measures","Nova Scotia","Solar (Distributed)",2040,13.25767194
"Current Measures","Nova Scotia","Solar (Utility scale)",2040,0.539401307
"Current Measures","Nova Scotia","Total",2040,11144.398785847
"Current Measures","Northwest Territories","Hydro",2040,331.879587
"Current Measures","Northwest Territories","Natural Gas",2040,0
"Current Measures","Northwest Territories","Oil",2040,10.97547408
"Current Measures","Northwest Territories","Onshore Wind",2040,18.74477219
"Current Measures","Northwest Territories","Solar (Distributed)",2040,0.525031349
"Current Measures","Northwest Territories","Solar (Utility scale)",2040,2.694172282
"Current Measures","Northwest Territories","Total",2040,364.819036901
"Current Measures","Nunavut","Bioenergy",2040,144.9497131
"Current Measures","Nunavut","Oil",2040,78.36415308
"Current Measures","Nunavut","Onshore Wind",2040,89.04558856
"Current Measures","Nunavut","Solar (Distributed)",2040,0.247743178
"Current Measures","Nunavut","Solar (Utility scale)",2040,42.37160793
"Current Measures","Nunavut","Total",2040,354.978805848
"Current Measures","Ontario","Bioenergy",2040,1947.443513
"Current Measures","Ontario","Hydro",2040,37301.39093
"Current Measures","Ontario","Natural Gas",2040,11250.49394
"Current Measures","Ontario","Oil",2040,0
"Current Measures","Ontario","Onshore Wind",2040,63739.33325
"Current Measures","Ontario","Solar (Distributed)",2040,4040.770221
"Current Measures","Ontario","Solar (Utility scale)",2040,4676.735388
"Current Measures","Ontario","Uranium",2040,81967.98322
"Current Measures","Ontario","Uranium SMR",2040,1798.732586
"Current Measures","Ontario","Total",2040,206722.883048
"Current Measures","Prince Edward Island","Bioenergy",2040,7.91973888
"Current Measures","Prince Edward Island","Oil",2040,0.67922256
"Current Measures","Prince Edward Island","Onshore Wind",2040,2551.301982
"Current Measures","Prince Edward Island","Solar (Distributed)",2040,2.712149636
"Current Measures","Prince Edward Island","Solar (Utility scale)",2040,62.44869717
"Current Measures","Prince Edward Island","Total",2040,2625.061790246
"Current Measures","Quebec","Bioenergy",2040,16848.7963
"Current Measures","Quebec","Hydro",2040,247014.8255
"Current Measures","Quebec","Natural Gas",2040,0
"Current Measures","Quebec","Oil",2040,320.616
"Current Measures","Quebec","Onshore Wind",2040,32689.62958
"Current Measures","Quebec","Solar (Distributed)",2040,291.3705025
"Current Measures","Quebec","Solar (Utility scale)",2040,0.397480685
"Current Measures","Quebec","Total",2040,297165.635363185
"Current Measures","Saskatchewan","Bioenergy",2040,239.6930672
"Current Measures","Saskatchewan","Coal and Coke",2040,0
"Current Measures","Saskatchewan","Coal with CCUS",2040,654.81
"Current Measures","Saskatchewan","Hydro",2040,4209.15512
"Current Measures","Saskatchewan","Natural Gas",2040,8689.159522
"Current Measures","Saskatchewan","Oil",2040,0
"Current Measures","Saskatchewan","Onshore Wind",2040,14266.00583
"Current Measures","Saskatchewan","Solar (Distributed)",2040,186.4513698
"Current Measures","Saskatchewan","Solar (Utility scale)",2040,4967.188609
"Current Measures","Saskatchewan","Total",2040,33212.463518
"Current Measures","Yukon","Bioenergy",2040,5.335946861
"Current Measures","Yukon","Hydro",2040,455.5873164
"Current Measures","Yukon","Natural Gas",2040,68.01093319
"Current Measures","Yukon","Oil",2040,22.334277
"Current Measures","Yukon","Onshore Wind",2040,14.57229873
"Current Measures","Yukon","Solar (Distributed)",2040,0.603947568
"Current Measures","Yukon","Solar (Utility scale)",2040,33.19370718
"Current Measures","Yukon","Total",2040,599.638426929
"Global Net-zero","Alberta","Bioenergy",2040,1017.2652807
"Global Net-zero","Alberta","Bioenergy with CCUS",2040,11431.8
"Global Net-zero","Alberta","Coal and Coke",2040,0
"Global Net-zero","Alberta","Hydro",2040,1348.967508
"Global Net-zero","Alberta","Natural Gas",2040,2160.182766
"Global Net-zero","Alberta","Natural Gas with CCUS",2040,21387.87109
"Global Net-zero","Alberta","Oil",2040,0
"Global Net-zero","Alberta","Onshore Wind",2040,49075.02711
"Global Net-zero","Alberta","Solar (Distributed)",2040,2266.822865
"Global Net-zero","Alberta","Solar (Utility scale)",2040,20046.87161
"Global Net-zero","Alberta","Uranium SMR",2040,214.7866562
"Global Net-zero","Alberta","Total",2040,108949.5948859
"Global Net-zero","British Columbia","Bioenergy",2040,2054.66383773
"Global Net-zero","British Columbia","Bioenergy with CCUS",2040,1314
"Global Net-zero","British Columbia","Hydro",2040,60769.92412
"Global Net-zero","British Columbia","Natural Gas",2040,560.5416359
"Global Net-zero","British Columbia","Natural Gas with CCUS",2040,205.0963714
"Global Net-zero","British Columbia","Oil",2040,0
"Global Net-zero","British Columbia","Onshore Wind",2040,16740.77606
"Global Net-zero","British Columbia","Solar (Distributed)",2040,1587.978231
"Global Net-zero","British Columbia","Solar (Utility scale)",2040,5975.907512
"Global Net-zero","British Columbia","Uranium SMR",2040,14073.09891
"Global Net-zero","British Columbia","Total",2040,103281.98667803
"Global Net-zero","Manitoba","Bioenergy",2040,51.24601402
"Global Net-zero","Manitoba","Hydro",2040,50108.9927
"Global Net-zero","Manitoba","Natural Gas",2040,0
"Global Net-zero","Manitoba","Oil",2040,0
"Global Net-zero","Manitoba","Onshore Wind",2040,1396.424349
"Global Net-zero","Manitoba","Solar (Distributed)",2040,89.48870329
"Global Net-zero","Manitoba","Solar (Utility scale)",2040,98.92769266
"Global Net-zero","Manitoba","Uranium SMR",2040,5575.856694
"Global Net-zero","Manitoba","Total",2040,57320.93615297
"Global Net-zero","New Brunswick","Bioenergy",2040,120.0161928
"Global Net-zero","New Brunswick","Coal and Coke",2040,0
"Global Net-zero","New Brunswick","Hydro",2040,2518.310756
"Global Net-zero","New Brunswick","Natural Gas",2040,0
"Global Net-zero","New Brunswick","Oil",2040,0
"Global Net-zero","New Brunswick","Onshore Wind",2040,7962.076028
"Global Net-zero","New Brunswick","Solar (Distributed)",2040,27.91590565
"Global Net-zero","New Brunswick","Solar (Utility scale)",2040,198.3049335
"Global Net-zero","New Brunswick","Uranium",2040,5250.796566
"Global Net-zero","New Brunswick","Uranium SMR",2040,3486.602946
"Global Net-zero","New Brunswick","Total",2040,19564.02332795
"Global Net-zero","Newfoundland and Labrador","Hydro",2040,45985.97742
"Global Net-zero","Newfoundland and Labrador","Natural Gas",2040,0
"Global Net-zero","Newfoundland and Labrador","Oil",2040,0
"Global Net-zero","Newfoundland and Labrador","Onshore Wind",2040,194.4986979
"Global Net-zero","Newfoundland and Labrador","Solar (Distributed)",2040,17.2422232
"Global Net-zero","Newfoundland and Labrador","Solar (Utility scale)",2040,0.019396747
"Global Net-zero","Newfoundland and Labrador","Total",2040,46197.737737847
"Global Net-zero","Nova Scotia","Bioenergy",2040,107.0389129
"Global Net-zero","Nova Scotia","Coal and Coke",2040,0
"Global Net-zero","Nova Scotia","Hydro",2040,343.4179002
"Global Net-zero","Nova Scotia","Natural Gas",2040,3.389557444
"Global Net-zero","Nova Scotia","Offshore Wind",2040,21190.07082
"Global Net-zero","Nova Scotia","Oil",2040,0
"Global Net-zero","Nova Scotia","Onshore Wind",2040,1928.662649
"Global Net-zero","Nova Scotia","Solar (Distributed)",2040,19.88650791
"Global Net-zero","Nova Scotia","Solar (Utility scale)",2040,84.21602565
"Global Net-zero","Nova Scotia","Total",2040,23676.682373104
"Global Net-zero","Northwest Territories","Hydro",2040,501.6537247
"Global Net-zero","Northwest Territories","Natural Gas",2040,11.93104286
"Global Net-zero","Northwest Territories","Oil",2040,5.547320362
"Global Net-zero","Northwest Territories","Onshore Wind",2040,24.0221256
"Global Net-zero","Northwest Territories","Solar (Distributed)",2040,0.967792016
"Global Net-zero","Northwest Territories","Solar (Utility scale)",2040,33.85247238
"Global Net-zero","Northwest Territories","Total",2040,577.974477918
"Global Net-zero","Nunavut","Oil",2040,272.1289013
"Global Net-zero","Nunavut","Onshore Wind",2040,91.32578844
"Global Net-zero","Nunavut","Solar (Distributed)",2040,0.554567432
"Global Net-zero","Nunavut","Solar (Utility scale)",2040,44.30724682
"Global Net-zero","Nunavut","Total",2040,408.316503992
"Global Net-zero","Ontario","Bioenergy",2040,1596.172144
"Global Net-zero","Ontario","Bioenergy with CCUS",2040,1314
"Global Net-zero","Ontario","Hydro",2040,42428.04879
"Global Net-zero","Ontario","Natural Gas",2040,1392.292284
"Global Net-zero","Ontario","Natural Gas with CCUS",2040,12130.64968
"Global Net-zero","Ontario","Oil",2040,0
"Global Net-zero","Ontario","Onshore Wind",2040,89772.58876
"Global Net-zero","Ontario","Solar (Distributed)",2040,4795.416947
"Global Net-zero","Ontario","Solar (Utility scale)",2040,6944.60613
"Global Net-zero","Ontario","Uranium",2040,90686.64263
"Global Net-zero","Ontario","Uranium SMR",2040,79099.30856
"Global Net-zero","Ontario","Total",2040,330159.725925
"Global Net-zero","Prince Edward Island","Bioenergy",2040,3.3936
"Global Net-zero","Prince Edward Island","Oil",2040,14.96462178
"Global Net-zero","Prince Edward Island","Onshore Wind",2040,1440.427571
"Global Net-zero","Prince Edward Island","Solar (Distributed)",2040,5.304912195
"Global Net-zero","Prince Edward Island","Solar (Utility scale)",2040,106.5611553
"Global Net-zero","Prince Edward Island","Uranium SMR",2040,1640.379132
"Global Net-zero","Prince Edward Island","Total",2040,3211.030992275
"Global Net-zero","Quebec","Bioenergy",2040,1650.963184
"Global Net-zero","Quebec","Hydro",2040,263523.1686
"Global Net-zero","Quebec","Natural Gas",2040,0
"Global Net-zero","Quebec","Oil",2040,327.2798385
"Global Net-zero","Quebec","Onshore Wind",2040,18399.58551
"Global Net-zero","Quebec","Solar (Distributed)",2040,582.7410049
"Global Net-zero","Quebec","Solar (Utility scale)",2040,260.5667162
"Global Net-zero","Quebec","Uranium SMR",2040,6668.402419
"Global Net-zero","Quebec","Total",2040,291412.7072726
"Global Net-zero","Saskatchewan","Bioenergy",2040,131.1084393
"Global Net-zero","Saskatchewan","Bioenergy with CCUS",2040,9636
"Global Net-zero","Saskatchewan","Coal and Coke",2040,0
"Global Net-zero","Saskatchewan","Coal with CCUS",2040,0
"Global Net-zero","Saskatchewan","Hydro",2040,4135.397074
"Global Net-zero","Saskatchewan","Natural Gas",2040,109.9966671
"Global Net-zero","Saskatchewan","Natural Gas with CCUS",2040,2532.793718
"Global Net-zero","Saskatchewan","Oil",2040,0
"Global Net-zero","Saskatchewan","Onshore Wind",2040,13473.42992
"Global Net-zero","Saskatchewan","Solar (Distributed)",2040,310.752283
"Global Net-zero","Saskatchewan","Solar (Utility scale)",2040,1416.578431
"Global Net-zero","Saskatchewan","Uranium SMR",2040,6973.170577
"Global Net-zero","Saskatchewan","Total",2040,38719.2271094
"Global Net-zero","Yukon","Bioenergy",2040,4.203656468
